position,track name,artist,streams,region,date,spotify_id
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
NA,NA,NA,NA,cy,2017-01-06,NA
position,track name,artist,streams,region,date,spotify_id
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
NA,NA,NA,NA,cy,2017-01-13,NA
position,track name,artist,streams,region,date,spotify_id
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
NA,NA,NA,NA,cy,2017-01-20,NA
